instituicao;id_municipio;valor_total;valor_gasto_hospital;perc
Prefeitura Municipal de Aldeias Altas - MA;2100303;81272330,50;3771522,01;4,64059783544659e+00
Prefeitura Municipal de Alecrim - RS;4300307;27416999,17;1075955,71;3,92441092232050e+00
Prefeitura Municipal de Alegre - ES;3200201;99057950,75;6060902,19;6,11854186777632e+00
Prefeitura Municipal de Alegrete - RS;4300406;245667536,50;11764029,22;4,78859738148593e+00
Prefeitura Municipal de Alegrete do Piauí - PI;2200277;17749103,35;NA;NA
Prefeitura Municipal de Alegria - RS;4300455;22390433,47;1186248,49;5,29801484901757e+00
Prefeitura Municipal de Alenquer - PA;1500404;111320901,53;1641431,52;1,47450433605916e+00
Prefeitura Municipal de Alexandria - RN;2400505;58388373,59;15798684,18;2,70579281603860e+01
Prefeitura Municipal de Alexânia - GO;5200308;105622202,87;6704613,79;6,34773145022553e+00
Prefeitura Municipal de Alfenas - MG;3101607;338361481,89;78250898,70;2,31264203782625e+01
Prefeitura Municipal de Alfredo Chaves - ES;3200300;68521923,38;4470911,68;6,52479011017510e+00
Prefeitura Municipal de Alfredo Marcondes - SP;3500808;17764787,30;NA;NA
Prefeitura Municipal de Alfredo Vasconcelos - MG;3101631;17560746,08;714786,59;4,07036572787800e+00
Prefeitura Municipal de Alfredo Wagner - SC;4200705;22194895,92;2282631,17;1,02844869299121e+01
Prefeitura Municipal de Algodão de Jandaíra - PB;2500577;15618426,02;202775,00;1,29830624251342e+00
Prefeitura Municipal de Alhandra - PB;2500601;97259312,07;11623790,14;1,19513390467270e+01
Prefeitura Municipal de Aliança - PE;2600708;102193871,18;4442190,31;4,34682653539537e+00
Prefeitura Municipal de Aliança do Tocantins - TO;1700350;21026832,24;579198,10;2,75456660988703e+00
Prefeitura Municipal de Almadina - BA;2900900;21002562,72;58913,97;2,80508482633399e-01
Prefeitura Municipal de Almas - TO;1700400;23941519,61;2362840,70;9,86921773759540e+00
Prefeitura Municipal de Almeirim - PA;1500503;136433975,43;13463334,99;9,86802220456269e+00
Prefeitura Municipal de Almenara - MG;3101706;104878178,55;21554668,59;2,05521004350051e+01
Prefeitura Municipal de Almino Afonso - RN;2400604;22424332,66;9304273,87;4,14918651585862e+01
Prefeitura Municipal de Almirante Tamandaré - PR;4100400;234197110,55;758240,32;3,23761603300447e-01
Prefeitura Municipal de Almirante Tamandaré do Sul - RS;4300471;19135473,77;22688,39;1,18567171488433e-01
Prefeitura Municipal de Aloândia - GO;5200506;14254135,15;2916271,85;2,04591286620430e+01
Prefeitura Municipal de Alpercata - MG;3101805;25564854,91;463671,74;1,81370769219046e+00
Prefeitura Municipal de Alpestre - RS;4300505;49010101,80;NA;NA
Prefeitura Municipal de Alpinópolis - MG;3101904;45102947,12;11066990,79;2,45371788246018e+01
Prefeitura Municipal de Alta Floresta - MT;5100250;181097097,96;23810968,68;1,31481779378150e+01
Prefeitura Municipal de Alta Floresta D'Oeste - RO;1100015;67481300,58;17436671,34;2,58392638999727e+01
