instituicao;id_municipio;valor_total;valor_gasto_hospital;perc
Prefeitura Municipal de Belmonte - BA;2903409;65378105,47;7600979,36;1,16261847989582e+01
Prefeitura Municipal de Belmonte - SC;4202156;16459026,70;761936,31;4,62929141490487e+00
Prefeitura Municipal de Belo Campo - BA;2903508;57102124,96;3655886,53;6,40236511786724e+00
Prefeitura Municipal de Belo Horizonte - MG;3106200;11607982388,45;2828756887,56;2,43690659832033e+01
Prefeitura Municipal de Belo Jardim - PE;2601706;181793264,20;21478159,47;1,18146068637454e+01
Prefeitura Municipal de Belo Monte - AL;2700904;11546935,64;NA;NA
Prefeitura Municipal de Belo Oriente - MG;3106309;122438987,32;14229551,62;1,16217488656701e+01
Prefeitura Municipal de Belo Vale - MG;3106408;73384773,56;979408,14;1,33462037489184e+00
Prefeitura Municipal de Belterra - PA;1501451;50893076,62;3389409,53;6,65986368894041e+00
Prefeitura Municipal de Belágua - MA;2101731;42285656,06;NA;NA
Prefeitura Municipal de Belém - AL;2700805;28447469,14;197508,64;6,94292483552721e-01
Prefeitura Municipal de Belém - PA;1501402;3331563753,38;649989075,88;1,95100296436039e+01
Prefeitura Municipal de Belém - PB;2501906;48702595,37;2007240,06;4,12142319059330e+00
Prefeitura Municipal de Belém de Maria - PE;2601508;38125492,63;865466,29;2,27004618248260e+00
Prefeitura Municipal de Belém do Brejo do Cruz - PB;2502003;31151120,90;5403707,98;1,73467529381904e+01
Prefeitura Municipal de Belém do Piauí - PI;2201572;23123468,80;NA;NA
Prefeitura Municipal de Belém do São Francisco - PE;2601607;64124474,73;4878707,86;7,60818374036138e+00
Prefeitura Municipal de Beneditinos - PI;2201606;34963027,31;1097245,00;3,13830089789213e+00
Prefeitura Municipal de Benedito Leite - MA;2101806;19938335,82;NA;NA
Prefeitura Municipal de Benedito Novo - SC;4202206;38168982,26;1326509,00;3,47535858033643e+00
Prefeitura Municipal de Benevides - PA;1501501;134934433,97;12218294,16;9,05498604063993e+00
Prefeitura Municipal de Benjamin Constant - AM;1300607;134017868,85;9270752,83;6,91754980850824e+00
Prefeitura Municipal de Benjamin Constant do Sul - RS;4302055;16595817,07;3183020,97;1,91796580823604e+01
Prefeitura Municipal de Bento Fernandes - RN;2401602;19078641,81;612211,90;3,20888617804603e+00
Prefeitura Municipal de Bento Gonçalves - RS;4302105;540836842,42;106238243,64;1,96433074279171e+01
Prefeitura Municipal de Bento de Abreu - SP;3506201;19901623,28;NA;NA
Prefeitura Municipal de Bequimão - MA;2101905;49536474,78;44443,69;8,97191215107293e-02
Prefeitura Municipal de Berilo - MG;3106507;26376024,92;4094350,23;1,55229995513668e+01
Prefeitura Municipal de Berizal - MG;3106655;19864253,29;676832,48;3,40728881231458e+00
Prefeitura Municipal de Bernardino Batista - PB;2502052;21130182,77;483784,74;2,28954356555241e+00
Prefeitura Municipal de Bernardino de Campos - SP;3506300;44411712,05;1043854,27;2,35040312975280e+00
Prefeitura Municipal de Bernardo Sayão - TO;1703206;16912910,10;NA;NA
Prefeitura Municipal de Bernardo do Mearim - MA;2101939;23035082,21;3089760,66;1,34132825393550e+01
Prefeitura Municipal de Bertioga - SP;3506359;501510654,64;69471905,85;1,38525283974015e+01
Prefeitura Municipal de Bertolínia - PI;2201705;20879526,90;305098,87;1,46123459339493e+00
Prefeitura Municipal de Bertópolis - MG;3106606;19555939,18;187200,00;9,57253948669726e-01
Prefeitura Municipal de Beruri - AM;1300631;72175645,46;1237762,85;1,71493145937430e+00
Prefeitura Municipal de Betim - MG;3106705;1902404248,15;339618614,68;1,78520740273926e+01
Prefeitura Municipal de Betânia - PE;2601805;42624600,09;1892620,82;4,44020780489157e+00
Prefeitura Municipal de Betânia do Piauí - PI;2201739;24980088,34;NA;NA
Prefeitura Municipal de Bezerros - PE;2601904;140536976,46;19948538,74;1,41945125350536e+01
Prefeitura Municipal de Bias Fortes - MG;3106804;14770074,37;1671634,04;1,13177090251848e+01
Prefeitura Municipal de Bicas - MG;3106903;34239192,43;3718199,46;1,08594835219950e+01
Prefeitura Municipal de Biguaçu - SC;4202305;241984935,97;43164018,93;1,78374818072771e+01
Prefeitura Municipal de Bilac - SP;3506409;39160630,01;1659300,00;4,23716370134056e+00
Prefeitura Municipal de Biquinhas - MG;3107000;18481299,46;2282065,23;1,23479695512709e+01
Prefeitura Municipal de Birigui - SP;3506508;409415453,33;63008664,58;1,53899087265798e+01
Prefeitura Municipal de Biritiba-Mirim - SP;3506607;70325312,00;11169144,00;1,58821108394087e+01
Prefeitura Municipal de Biritinga - BA;2903607;48742045,96;4613070,75;9,46425341641527e+00
Prefeitura Municipal de Bituruna - PR;4102901;59598496,25;5545107,28;9,30410602431936e+00
Prefeitura Municipal de Blumenau - SC;4202404;1790584816,86;244772460,53;1,36699729733684e+01
Prefeitura Municipal de Boa Esperança - ES;3201001;53140536,93;3573105,15;6,72387852367151e+00
Prefeitura Municipal de Boa Esperança - MG;3107109;143154819,23;22558558,84;1,57581553742569e+01
Prefeitura Municipal de Boa Esperança - PR;4103008;24925954,16;NA;NA
Prefeitura Municipal de Boa Esperança do Iguaçu - PR;4103024;18666523,64;3129651,32;1,67661176786745e+01
Prefeitura Municipal de Boa Esperança do Sul - SP;3506706;57746523,80;767782,20;1,32957301925073e+00
Prefeitura Municipal de Boa Hora - PI;2201770;21630784,12;NA;NA
Prefeitura Municipal de Boa Nova - BA;2903706;42761948,58;59157,52;1,38341497439778e-01
Prefeitura Municipal de Boa Saúde - RN;2405306;27953015,05;841040,60;3,00876523872512e+00
Prefeitura Municipal de Boa Ventura - PB;2502102;20645666,18;1595833,66;7,72963025792757e+00
Prefeitura Municipal de Boa Ventura de São Roque - PR;4103040;28558214,06;NA;NA
Prefeitura Municipal de Boa Viagem - CE;2302404;129476228,71;11015512,18;8,50774871167469e+00
Prefeitura Municipal de Boa Vista - PB;2502151;30505717,40;197587,35;6,47705960850473e-01
Prefeitura Municipal de Boa Vista - RR;1400100;1374604210,98;112748547,48;8,20225535316947e+00
Prefeitura Municipal de Boa Vista da Aparecida - PR;4103057;32875332,17;1129712,17;3,43635210789111e+00
Prefeitura Municipal de Boa Vista das Missões - RS;4302154;18130764,13;53996,94;2,97819438898630e-01
Prefeitura Municipal de Boa Vista do Buricá - RS;4302204;27332792,03;1702538,84;6,22892399038972e+00
Prefeitura Municipal de Boa Vista do Cadeado - RS;4302220;20979047,84;2061715,02;9,82749567913660e+00
Prefeitura Municipal de Boa Vista do Gurupi - MA;2101970;21376238,53;309058,46;1,44580375806650e+00
Prefeitura Municipal de Boa Vista do Incra - RS;4302238;20356343,18;1587955,34;7,80078880552652e+00
Prefeitura Municipal de Boa Vista do Ramos - AM;1300680;62757084,44;712876,68;1,13593020829634e+00
Prefeitura Municipal de Boa Vista do Sul - RS;4302253;22467869,43;1152490,13;5,12950341638157e+00
Prefeitura Municipal de Boa Vista do Tupim - BA;2903805;55113914,63;650504,11;1,18029015787950e+00
Prefeitura Municipal de Boca da Mata - AL;2701001;86623628,87;5280715,17;6,09616018041106e+00
Prefeitura Municipal de Boca do Acre - AM;1300706;90016958,11;900261,38;1,00010197956244e+00
Prefeitura Municipal de Bocaina - PI;2201804;17276706,19;763365,59;4,41846716385006e+00
Prefeitura Municipal de Bocaina - SP;3506805;43085297,91;844534,86;1,96014627022919e+00
Prefeitura Municipal de Bocaina de Minas - MG;3107208;18085424,91;294738,44;1,62970149425148e+00
Prefeitura Municipal de Bocaina do Sul - SC;4202438;17627178,76;NA;NA
Prefeitura Municipal de Bocaiúva - MG;3107307;122723224,20;12989383,15;1,05842909805168e+01
Prefeitura Municipal de Bocaiúva do Sul - PR;4103107;38322975,30;929691,52;2,42593773766830e+00
Prefeitura Municipal de Bodocó - PE;2602001;93114995,84;6174460,51;6,63100551559881e+00
Prefeitura Municipal de Bodoquena - MS;5002159;51141319,76;5370047,47;1,05004084665804e+01
Prefeitura Municipal de Bodó - RN;2401651;24304352,95;NA;NA
Prefeitura Municipal de Bofete - SP;3506904;46818991,53;10412636,05;2,22401972142607e+01
Prefeitura Municipal de Boituva - SP;3507001;224315401,41;23891977,58;1,06510642737057e+01
Prefeitura Municipal de Bom Conselho - PE;2602100;123553322,09;17060875,70;1,38085123179224e+01
Prefeitura Municipal de Bom Despacho - MG;3107406;173487809,99;42175737,42;2,43104904156846e+01
Prefeitura Municipal de Bom Jardim - MA;2102002;114373977,25;11074827,07;9,68299549974774e+00
Prefeitura Municipal de Bom Jardim - PE;2602209;96029618,25;8562819,74;8,91685283774415e+00
Prefeitura Municipal de Bom Jardim - RJ;3300506;114848831,81;12882656,93;1,12170552603551e+01
Prefeitura Municipal de Bom Jardim da Serra - SC;4202503;26592453,53;1855840,43;6,97882362718563e+00
Prefeitura Municipal de Bom Jardim de Goiás - GO;5203401;26201771,18;2975667,69;1,13567425253730e+01
Prefeitura Municipal de Bom Jardim de Minas - MG;3107505;21307297,48;3609760,39;1,69414276652789e+01
Prefeitura Municipal de Bom Jesus - PB;2502201;19848381,23;556720,73;2,80486717555858e+00
Prefeitura Municipal de Bom Jesus - PI;2201903;108757709,55;334551,76;3,07611994942017e-01
Prefeitura Municipal de Bom Jesus - RN;2401701;37158797,31;632656,73;1,70257590610916e+00
Prefeitura Municipal de Bom Jesus - RS;4302303;44143833,94;1094192,17;2,47869763982716e+00
Prefeitura Municipal de Bom Jesus - SC;4202537;17559371,26;2700,00;1,53764047699735e-02
Prefeitura Municipal de Bom Jesus da Lapa - BA;2903904;220683639,12;9990819,39;4,52721344900758e+00
Prefeitura Municipal de Bom Jesus da Penha - MG;3107604;24206035,03;2959350,37;1,22256716820095e+01
Prefeitura Municipal de Bom Jesus da Serra - BA;2903953;30200641,70;2693764,75;8,91956130190439e+00
Prefeitura Municipal de Bom Jesus das Selvas - MA;2102036;107816895,45;7648677,97;7,09413671955252e+00
Prefeitura Municipal de Bom Jesus de Goiás - GO;5203500;89851624,39;16244752,97;1,80795317617073e+01
Prefeitura Municipal de Bom Jesus do Amparo - MG;3107703;18210921,72;1020315,49;5,60276687631602e+00
Prefeitura Municipal de Bom Jesus do Araguaia - MT;5101852;29385399,27;1246395,11;4,24154560075168e+00
Prefeitura Municipal de Bom Jesus do Galho - MG;3107802;29285726,93;377000,00;1,28731651736398e+00
Prefeitura Municipal de Bom Jesus do Itabapoana - RJ;3300605;162284767,69;52827193,78;3,25521578715950e+01
Prefeitura Municipal de Bom Jesus do Norte - ES;3201100;31864200,14;2310221,21;7,25020932535481e+00
Prefeitura Municipal de Bom Jesus do Oeste - SC;4202578;17585879,29;296611,99;1,68664861795489e+00
Prefeitura Municipal de Bom Jesus do Sul - PR;4103156;21236400,86;NA;NA
Prefeitura Municipal de Bom Jesus do Tocantins - PA;1501576;75162656,23;9294043,20;1,23652404879891e+01
Prefeitura Municipal de Bom Jesus do Tocantins - TO;1703305;17607568,31;NA;NA
Prefeitura Municipal de Bom Jesus dos Perdões - SP;3507100;93639986,67;10009644,53;1,06894980295921e+01
Prefeitura Municipal de Bom Lugar - MA;2102077;39835778,77;1079666,96;2,71029459781288e+00
Prefeitura Municipal de Bom Princípio - RS;4302352;74885170,53;8891657,77;1,18737230710290e+01
Prefeitura Municipal de Bom Princípio do Piauí - PI;2201919;22977067,08;NA;NA
Prefeitura Municipal de Bom Progresso - RS;4302378;15890688,14;NA;NA
Prefeitura Municipal de Bom Repouso - MG;3107901;37658690,98;NA;NA
Prefeitura Municipal de Bom Retiro - SC;4202602;29691287,05;1644366,84;5,53821340661620e+00
Prefeitura Municipal de Bom Retiro do Sul - RS;4302402;39355448,30;5220462,41;1,32649039345335e+01
Prefeitura Municipal de Bom Sucesso - MG;3108008;54352791,04;3703037,89;6,81296731804410e+00
Prefeitura Municipal de Bom Sucesso - PB;2502300;23457314,17;5971452,85;2,54566776346331e+01
Prefeitura Municipal de Bom Sucesso - PR;4103206;23565635,69;4710707,48;1,99897322608572e+01
Prefeitura Municipal de Bom Sucesso de Itararé - SP;3507159;18796841,33;NA;NA
Prefeitura Municipal de Bom Sucesso do Sul - PR;4103222;24632480,73;3205,54;1,30134680105360e-02
Prefeitura Municipal de Bombinhas - SC;4202453;154603722,00;13184791,09;8,52812009920434e+00
Prefeitura Municipal de Bonfim - MG;3108107;23766803,90;1965909,86;8,27166272870203e+00
Prefeitura Municipal de Bonfim - RR;1400159;65304371,34;1214126,34;1,85918080993198e+00
Prefeitura Municipal de Bonfim do Piauí - PI;2201929;19780005,16;NA;NA
Prefeitura Municipal de Bonfinópolis - GO;5203559;30231259,59;2183562,09;7,22286176498675e+00
Prefeitura Municipal de Bonfinópolis de Minas - MG;3108206;26274890,66;1784184,68;6,79045520336335e+00
Prefeitura Municipal de Boninal - BA;2904001;36572693,67;398242,97;1,08890795300285e+00
Prefeitura Municipal de Bonito - BA;2904050;57127081,92;6490647,30;1,13617693777698e+01
Prefeitura Municipal de Bonito - MS;5002209;116854615,93;754698,91;6,45844328864245e-01
Prefeitura Municipal de Bonito - PA;1501600;39659303,54;99009,02;2,49648912518447e-01
Prefeitura Municipal de Bonito - PE;2602308;98261524,21;8816816,80;8,97280687520897e+00
Prefeitura Municipal de Bonito de Minas - MG;3108255;30638799,80;1574685,66;5,13951483177876e+00
Prefeitura Municipal de Bonito de Santa Fé - PB;2502409;34845748,56;2977032,83;8,54346068896733e+00
Prefeitura Municipal de Bonópolis - GO;5203575;21567825,35;5543902,64;2,57045045109288e+01
Prefeitura Municipal de Boqueirão - PB;2502508;52020706,63;10161270,57;1,95331267648334e+01
Prefeitura Municipal de Boqueirão do Leão - RS;4302451;25820780,78;1225161,36;4,74486565855117e+00
Prefeitura Municipal de Boqueirão do Piauí - PI;2201945;22068652,72;NA;NA
Prefeitura Municipal de Boquim - SE;2800670;62033208,66;1660885,76;2,67741391405885e+00
Prefeitura Municipal de Boquira - BA;2904100;55405714,71;6437560,62;1,16189469871383e+01
Prefeitura Municipal de Boracéia - SP;3507308;26387097,65;34324,02;1,30078800083570e-01
Prefeitura Municipal de Borba - AM;1300805;112658971,60;14766466,49;1,31072264199507e+01
Prefeitura Municipal de Borborema - PB;2502706;19551799,90;80659,25;4,12541302655210e-01
Prefeitura Municipal de Borborema - SP;3507407;57177344,10;3489526,08;6,10298735439165e+00
Prefeitura Municipal de Borda da Mata - MG;3108305;46836172,35;5122832,82;1,09377700246677e+01
Prefeitura Municipal de Borebi - SP;3507456;21988863,03;4568251,50;2,07752965388315e+01
Prefeitura Municipal de Borrazópolis - PR;4103305;28460734,57;5617045,28;1,97361219408611e+01
Prefeitura Municipal de Borá - SP;3507209;12422100,19;60971,75;4,90832862941190e-01
Prefeitura Municipal de Bossoroca - RS;4302501;35842333,54;5500,00;1,53449830320395e-02
Prefeitura Municipal de Botelhos - MG;3108404;38878583,52;6662599,50;1,71369399211075e+01
Prefeitura Municipal de Botucatu - SP;3507506;469608900,03;38319198,67;8,15981099752412e+00
Prefeitura Municipal de Botumirim - MG;3108503;20685867,67;1570045,49;7,58994263642604e+00
Prefeitura Municipal de Botuporã - BA;2904209;34232301,01;163327,62;4,77115517161083e-01
Prefeitura Municipal de Botuverá - SC;4202701;28303719,65;668961,65;2,36351143338151e+00
Prefeitura Municipal de Bozano - RS;4302584;15257755,75;622891,49;4,08245812953193e+00
Prefeitura Municipal de Braga - RS;4302600;17923262,07;1005948,93;5,61253261862281e+00
Prefeitura Municipal de Braganey - PR;4103354;21453976,53;NA;NA
Prefeitura Municipal de Bragança - PA;1501709;228597177,52;11796609,82;5,16043546468019e+00
Prefeitura Municipal de Bragança Paulista - SP;3507605;593506266,89;92316127,85;1,55543644608406e+01
Prefeitura Municipal de Branquinha - AL;2701100;42942240,51;560940,43;1,30626726351033e+00
Prefeitura Municipal de Brasil Novo - PA;1501725;56330190,13;5097820,10;9,04988974515290e+00
Prefeitura Municipal de Brasileira - PI;2201960;23227801,88;327844,63;1,41143200589414e+00
Prefeitura Municipal de Brasilândia - MS;5002308;62106569,89;4340879,65;6,98940491752861e+00
Prefeitura Municipal de Brasilândia de Minas - MG;3108552;43942066,89;1703958,10;3,87773771376188e+00
Prefeitura Municipal de Brasilândia do Sul - PR;4103370;24625328,56;NA;NA
Prefeitura Municipal de Brasilândia do Tocantins - TO;1703602;13205726,00;485017,48;3,67278164032784e+00
Prefeitura Municipal de Brasiléia - AC;1200104;71553370,64;518595,10;7,24766835386638e-01
Prefeitura Municipal de Brasnorte - MT;5101902;91085408,35;22925581,73;2,51693242038367e+01
Prefeitura Municipal de Brasília de Minas - MG;3108602;100285772,97;30262752,45;3,01765161236310e+01
Prefeitura Municipal de Brazabrantes - GO;5203609;16641942,78;2910722,63;1,74902814441716e+01
Prefeitura Municipal de Brazópolis - MG;3108909;38888814,62;2155376,79;5,54240804473253e+00
Prefeitura Municipal de Braço do Norte - SC;4202800;111033606,31;6837522,32;6,15806560484940e+00
Prefeitura Municipal de Braço do Trombudo - SC;4202859;25235945,20;NA;NA
Prefeitura Municipal de Braúna - SP;3507704;23594380,58;396247,72;1,67941565008019e+00
Prefeitura Municipal de Braúnas - MG;3108800;20263300,02;1481322,52;7,31037155121785e+00
Prefeitura Municipal de Brejetuba - ES;3201159;47546749,71;171889,20;3,61516194163422e-01
Prefeitura Municipal de Brejinho - PE;2602506;30861205,81;1315254,53;4,26183778462025e+00
Prefeitura Municipal de Brejinho - RN;2401800;34621486,51;1473559,63;4,25619977228413e+00
Prefeitura Municipal de Brejinho de Nazaré - TO;1703701;6614109,93;NA;NA
Prefeitura Municipal de Brejo - MA;2102101;88700121,30;953889,17;1,07540909304258e+00
Prefeitura Municipal de Brejo Alegre - SP;3507753;18248720,99;704268,16;3,85927408493958e+00
Prefeitura Municipal de Brejo Grande - SE;2800704;37481971,76;352289,07;9,39889374699214e-01
Prefeitura Municipal de Brejo Grande do Araguaia - PA;1501758;34012484,92;1905771,56;5,60315297304070e+00
Prefeitura Municipal de Brejo Santo - CE;2302503;148731280,36;23547534,24;1,58322675519257e+01
Prefeitura Municipal de Brejo da Madre de Deus - PE;2602605;116588331,38;20264029,45;1,73808383824903e+01
Prefeitura Municipal de Brejo de Areia - MA;2102150;28240345,18;NA;NA
Prefeitura Municipal de Brejo do Cruz - PB;2502805;45118859,18;3625318,71;8,03504072551331e+00
Prefeitura Municipal de Brejo do Piauí - PI;2201988;17014593,05;NA;NA
Prefeitura Municipal de Brejo dos Santos - PB;2502904;20622216,10;3625714,18;1,75815933768631e+01
Prefeitura Municipal de Brejolândia - BA;2904407;32963424,06;2395221,60;7,26630096327438e+00
Prefeitura Municipal de Brejão - PE;2602407;40112024,16;2494037,04;6,21767934236306e+00
Prefeitura Municipal de Brejões - BA;2904308;44728773,59;3128132,58;6,99355767871837e+00
Prefeitura Municipal de Breu Branco - PA;1501782;127130238,04;12563115,06;9,88208254282287e+00
Prefeitura Municipal de Breves - PA;1501808;250340185,53;22340206,57;8,92393944771716e+00
Prefeitura Municipal de Britânia - GO;5203807;29986476,66;1641561,42;5,47433911163606e+00
Prefeitura Municipal de Brochier - RS;4302659;23134626,04;16977,50;7,33856686105310e-02
Prefeitura Municipal de Brodowski - SP;3507803;97259361,42;13763630,42;1,41514710965085e+01
Prefeitura Municipal de Brotas - SP;3507902;99453734,30;5320287,74;5,34951027977639e+00
Prefeitura Municipal de Brotas de Macaúbas - BA;2904506;32872776,64;3361710,62;1,02264273469051e+01
Prefeitura Municipal de Brumadinho - MG;3109006;303549988,41;41422730,45;1,36460985114751e+01
Prefeitura Municipal de Brumado - BA;2904605;184474068,81;47449678,59;2,57215981064911e+01
Prefeitura Municipal de Brunópolis - SC;4202875;14948177,47;120000,00;8,02773450079998e-01
Prefeitura Municipal de Brusque - SC;4202909;541172144,62;68023180,55;1,25696012306333e+01
Prefeitura Municipal de Brás Pires - MG;3108701;17123334,34;NA;NA
Prefeitura Municipal de Bueno Brandão - MG;3109105;33386749,30;2286090,56;6,84729902710235e+00
Prefeitura Municipal de Buenos Aires - PE;2602704;41143098,01;5336296,72;1,29700897066696e+01
Prefeitura Municipal de Buenópolis - MG;3109204;31620221,26;2235319,69;7,06927276574029e+00
Prefeitura Municipal de Buerarema - BA;2904704;40695565,01;248062,17;6,09555783140115e-01
Prefeitura Municipal de Bugre - MG;3109253;18154793,11;886911,82;4,88527638197911e+00
Prefeitura Municipal de Bujari - AC;1200138;22835680,07;743356,02;3,25523924718394e+00
Prefeitura Municipal de Bujaru - PA;1501907;62130751,41;2472464,62;3,97945391595901e+00
Prefeitura Municipal de Buri - SP;3508009;88688726,08;19613552,38;2,21150457864373e+01
Prefeitura Municipal de Buritama - SP;3508108;79341440,29;10632435,90;1,34008607118014e+01
Prefeitura Municipal de Buriti - MA;2102200;99795972,00;260386,28;2,60918627056411e-01
Prefeitura Municipal de Buriti Alegre - GO;5203906;44806966,34;677375,12;1,51176295859891e+00
Prefeitura Municipal de Buriti Bravo - MA;2102309;60034160,42;3666334,31;6,10708017627008e+00
Prefeitura Municipal de Buriti de Goiás - GO;5203939;17616364,66;1695439,25;9,62422885040346e+00
Prefeitura Municipal de Buriti do Tocantins - TO;1703800;30672531,99;NA;NA
Prefeitura Municipal de Buriti dos Lopes - PI;2202000;63374490,60;1078520,98;1,70182193148863e+00
Prefeitura Municipal de Buriti dos Montes - PI;2202026;25465979,06;949022,65;3,72662935033451e+00
Prefeitura Municipal de Buriticupu - MA;2102325;183941687,60;26623355,77;1,44738020605178e+01
Prefeitura Municipal de Buritinópolis - GO;5203962;20096697,02;NA;NA
Prefeitura Municipal de Buritirama - BA;2904753;59034823,04;2636919,35;4,46671847938515e+00
Prefeitura Municipal de Buritirana - MA;2102358;40732281,46;106175,00;2,60665487407736e-01
Prefeitura Municipal de Buritis - MG;3109303;94443216,16;14769440,86;1,56384348823726e+01
Prefeitura Municipal de Buritis - RO;1100452;91246287,18;2280287,07;2,49904641654264e+00
Prefeitura Municipal de Buritizal - SP;3508207;27423037,03;NA;NA
Prefeitura Municipal de Buritizeiro - MG;3109402;78297223,85;8896311,51;1,13622310888613e+01
Prefeitura Municipal de Butiá - RS;4302709;65450681,42;10884735,38;1,66304385895575e+01
Prefeitura Municipal de Buíque - PE;2602803;133817208,05;19500312,91;1,45723507418521e+01
Prefeitura Municipal de Bálsamo - SP;3504800;31612012,51;18597,49;5,88304524873795e-02
Prefeitura Municipal de Caapiranga - AM;1300839;74702372,39;1437066,38;1,92372254591525e+00
Prefeitura Municipal de Caaporã - PB;2503001;76278047,90;5099100,57;6,68488603259078e+00
Prefeitura Municipal de Caarapó - MS;5002407;139986825,08;7987091,76;5,70560247754424e+00
Prefeitura Municipal de Caatiba - BA;2904803;23213733,48;71969,06;3,10027941270221e-01
Prefeitura Municipal de Cabaceiras - PB;2503100;24020053,86;728422,04;3,03255789618783e+00
Prefeitura Municipal de Cabaceiras do Paraguaçu - BA;2904852;49090530,23;NA;NA
Prefeitura Municipal de Cabeceira Grande - MG;3109451;34575574,84;3979134,67;1,15085134185436e+01
Prefeitura Municipal de Cabeceiras - GO;5204003;28935070,28;4824814,72;1,66746258893137e+01
Prefeitura Municipal de Cabeceiras do Piauí - PI;2202059;27961780,43;NA;NA
Prefeitura Municipal de Cabedelo - PB;2503209;326644255,93;23623143,92;7,23207082051443e+00
Prefeitura Municipal de Cabixi - RO;1100031;24492631,02;5606411,46;2,28901968735901e+01
Prefeitura Municipal de Cabo Frio - RJ;3300704;1009223616,84;97146810,17;9,62589544566726e+00
Prefeitura Municipal de Cabo Verde - MG;3109501;36601138,19;1859383,00;5,08012343864217e+00
Prefeitura Municipal de Cabo de Santo Agostinho - PE;2602902;843892801,19;99890048,38;1,18368172164926e+01
Prefeitura Municipal de Cabreúva - SP;3508405;203164388,46;17839172,04;8,78065894088139e+00
Prefeitura Municipal de Cabrobó - PE;2603009;92301166,90;7437209,17;8,05754620421814e+00
Prefeitura Municipal de Cabrália Paulista - SP;3508306;20964106,92;1050,00;5,00856060316258e-03
Prefeitura Municipal de Cacaulândia - RO;1100601;24614438,40;674956,29;2,74211533503848e+00
Prefeitura Municipal de Cacequi - RS;4302907;51002378,07;NA;NA
Prefeitura Municipal de Cachoeira - BA;2904902;73132153,58;283420,52;3,87545704763040e-01
Prefeitura Municipal de Cachoeira Alta - GO;5204102;45625571,10;7694158,48;1,68636979099644e+01
Prefeitura Municipal de Cachoeira Dourada - GO;5204250;59170868,03;3547378,81;5,99514411078346e+00
Prefeitura Municipal de Cachoeira Dourada - MG;3109808;38301018,48;3927018,55;1,02530394904527e+01
Prefeitura Municipal de Cachoeira Grande - MA;2102374;29577007,74;142006,72;4,80125377280643e-01
Prefeitura Municipal de Cachoeira Paulista - SP;3508603;88608562,58;10773706,44;1,21587644876566e+01
Prefeitura Municipal de Cachoeira da Prata - MG;3109600;17237327,97;353162,79;2,04882561041159e+00
Prefeitura Municipal de Cachoeira de Goiás - GO;5204201;15564384,50;30000,00;1,92747744056310e-01
Prefeitura Municipal de Cachoeira de Minas - MG;3109709;32658749,56;1865487,89;5,71206159186457e+00
Prefeitura Municipal de Cachoeira de Pajeú - MG;3102704;24360995,99;2633227,15;1,08091933149241e+01
Prefeitura Municipal de Cachoeira do Piriá - PA;1501956;75581748,89;222441,58;2,94305944578944e-01
Prefeitura Municipal de Cachoeira do Sul - RS;4303004;310903865,56;48900331,01;1,57284409834920e+01
Prefeitura Municipal de Cachoeira dos Índios - PB;2503308;28790511,59;NA;NA
Prefeitura Municipal de Cachoeiras de Macacu - RJ;3300803;236281027,14;49144214,71;2,07990524270412e+01
Prefeitura Municipal de Cachoeirinha - PE;2603108;54013578,54;5512409,35;1,02055992196810e+01
Prefeitura Municipal de Cachoeirinha - RS;4303103;476428956,16;965934,30;2,02744666861854e-01
Prefeitura Municipal de Cachoeirinha - TO;1703826;12975855,59;1864330,77;1,43676904930783e+01
Prefeitura Municipal de Cachoeiro de Itapemirim - ES;3201209;554550903,00;26089978,82;4,70470405491342e+00
Prefeitura Municipal de Cacimba de Areia - PB;2503407;19458946,78;60000,00;3,08341456905922e-01
Prefeitura Municipal de Cacimba de Dentro - PB;2503506;44085731,96;443291,33;1,00552108424151e+00
Prefeitura Municipal de Cacimbas - PB;2503555;28965343,59;NA;NA
Prefeitura Municipal de Cacimbinhas - AL;2701209;43339548,64;1052257,75;2,42793887573814e+00
Prefeitura Municipal de Cacique Doble - RS;4303202;22967668,95;NA;NA
Prefeitura Municipal de Cacoal - RO;1100049;239217713,54;27022495,71;1,12961934591359e+01
Prefeitura Municipal de Caconde - SP;3508702;59073508,59;15424287,22;2,61103286196396e+01
Prefeitura Municipal de Caculé - BA;2905008;59743223,49;2276911,99;3,81116360482477e+00
Prefeitura Municipal de Caetanos - BA;2905156;40167202,76;1605312,09;3,99657426879282e+00
Prefeitura Municipal de Caetanópolis - MG;3109907;25771649,90;3440475,14;1,33498443186596e+01
Prefeitura Municipal de Caetité - BA;2905206;127922753,87;11845222,47;9,25966812912546e+00
Prefeitura Municipal de Caeté - MG;3110004;105099635,42;15589412,62;1,48329844891483e+01
Prefeitura Municipal de Caetés - PE;2603207;77697897,32;5157452,62;6,63782778928875e+00
Prefeitura Municipal de Cafarnaum - BA;2905305;59692370,90;1707563,59;2,86060607788658e+00
Prefeitura Municipal de Cafeara - PR;4103404;19334182,33;NA;NA
Prefeitura Municipal de Cafelândia - PR;4103453;93691217,36;3581243,08;3,82238931343949e+00
Prefeitura Municipal de Cafelândia - SP;3508801;66558107,40;7914250,05;1,18907378216707e+01
Prefeitura Municipal de Cafezal do Sul - PR;4103479;21995283,29;866460,51;3,93930143374844e+00
Prefeitura Municipal de Caiabu - SP;3508900;17309538,17;NA;NA
Prefeitura Municipal de Caiana - MG;3110103;21169262,10;124582,02;5,88504310691113e-01
